time_ms,time,IC3
1707.031,1.707031,-4.866249
1710.938,1.710938,-3.845146
1714.844,1.714844,-2.091817
1718.75,1.71875,-0.6111698
1722.656,1.722656,-0.1765778
1726.562,1.726562,-0.6636446
1730.469,1.730469,-1.111262
1734.375,1.734375,-0.4966025
1738.281,1.738281,1.386953
1742.188,1.742188,3.648465
1746.094,1.746094,4.95709
1750,1.75,4.645721
1753.906,1.753906,3.241759
1757.812,1.757812,1.898742
1761.719,1.761719,1.255319
1765.625,1.765625,0.9395101
1769.531,1.769531,0.2153152
1773.438,1.773438,-1.068613
1777.344,1.777344,-2.299417
1781.25,1.78125,-2.839087
1785.156,1.785156,-2.766884
1789.062,1.789062,-2.743845
1792.969,1.792969,-3.27447
1796.875,1.796875,-4.284389
1800.781,1.800781,-5.324553
1804.688,1.804688,-5.991247
1808.594,1.808594,-6.088125
1812.5,1.8125,-5.558123
1816.406,1.816406,-4.491185
1820.312,1.820312,-3.183676
1824.219,1.824219,-2.045119
1828.125,1.828125,-1.307388
1832.031,1.832031,-0.8603669
1835.938,1.835938,-0.4185097
1839.844,1.839844,0.1769341
1843.75,1.84375,0.8179053
1847.656,1.847656,1.191103
1851.562,1.851562,0.9467536
1855.469,1.855469,-0.02181321
1859.375,1.859375,-1.3772
1863.281,1.863281,-2.456824
1867.188,1.867188,-2.784752
1871.094,1.871094,-2.530248
1875,1.875,-2.303684
1878.906,1.878906,-2.485934
1882.812,1.882812,-2.886738
1886.719,1.886719,-3.148523
1890.625,1.890625,-3.299739
1894.531,1.894531,-3.667216
1898.438,1.898438,-4.282466
1902.344,1.902344,-4.71386
1906.25,1.90625,-4.656592
1910.156,1.910156,-4.364229
1914.062,1.914062,-4.21642
1917.969,1.917969,-4.016794
1921.875,1.921875,-3.153128
1925.781,1.925781,-1.529231
1929.688,1.929688,-0.003740311
1933.594,1.933594,0.3946716
1937.5,1.9375,-0.3576523
1941.406,1.941406,-1.196567
1945.312,1.945312,-1.072841
1949.219,1.949219,0.01076757
1953.125,1.953125,1.067798
1957.031,1.957031,1.075376
1960.938,1.960938,-0.2134126
1964.844,1.964844,-2.135277
1968.75,1.96875,-3.612475
1972.656,1.972656,-3.901724
1976.562,1.976562,-3.178887
1980.469,1.980469,-2.440363
1984.375,1.984375,-2.598111
1988.281,1.988281,-3.582678
1992.188,1.992188,-4.407375
1996.094,1.996094,-4.228166
2000,2,-3.204722
2003.906,2.003906,-2.193206
2007.812,2.007812,-1.67327
2011.719,2.011719,-1.214011
2015.625,2.015625,-0.1221284
